City,ILR,DC_Nominal_Power_MW,ModuleCost,MountingCost,InverterCost,AccessCost,HV_ConnectionSubstationCost,OMCost,TaxesInsuranceCost,TotalCost,ratio_NominalPower_TotalCost,Incremental_Cost,Incremental_Cost_Percentage
Amsterdam,2.56,128.07,32017500.0,24597474.43105201,1251250.0,5005000.0,5005000.0,889115.6248078827,566149.7443105201,67876224.43105201,529993.1633563833,1047688.6812024117,0.015677265249744297
Amsterdam,2.61,130.43,32607500.0,25050742.484907582,1251250.0,5005000.0,5005000.0,905145.4580424861,576582.4248490758,68919492.48490758,528402.1504631417,1043268.0538555682,0.015370154462779664
Amsterdam,2.65,132.79,33197499.999999996,25504010.538763147,1251250.0,5005000.0,5005000.0,921175.2912770894,587015.1053876315,69962760.53876314,526867.6898769722,1043268.0538555533,0.015137488919901935
Amsterdam,2.7,135.16,33790000.0,25959199.219965566,1251250.0,5005000.0,5005000.0,937273.0475338734,597491.9921996556,71010449.21996556,525380.6541873747,1047688.6812024266,0.014974947716963664
Amsterdam,2.75,137.52,34380000.0,26412467.273821134,1251250.0,5005000.0,5005000.0,953302.8807684769,607924.6727382113,72053717.27382113,523950.82368979877,1043268.0538555682,0.014691754035013752
Amsterdam,2.79,139.88,34970000.0,26865735.327676702,1251250.0,5005000.0,5005000.0,969332.7140030802,618357.353276767,73096985.3276767,522569.24026077136,1043268.0538555682,0.014479031663153523
Amsterdam,2.84,142.25,35562500.0,27320924.008879118,1251250.0,5005000.0,5005000.0,985430.4702598643,628834.2400887912,74144674.00887913,521227.93679352634,1047688.6812024266,0.014332857593317741
Athens,1.0,50.09,12522500.0,2946501.1513806204,1251250.0,5005000.0,5005000.0,78684.35099846858,154690.0115138062,26730251.15138062,533644.4629942228,,
Athens,1.05,52.46,13115000.0,3085914.362176629,1251250.0,5005000.0,5005000.0,82128.68418804114,162009.1436217663,27462164.362176627,523487.6927597527,731913.210796006,0.027381456562116987
Athens,1.1,54.82,13705000.0,3224739.3315768735,1251250.0,5005000.0,5005000.0,85558.48432618093,169297.39331576874,28190989.331576873,514246.4307109973,728824.9694002457,0.02653923994439598
Athens,1.14,57.18,14295000.0,3363564.300977119,1251250.0,5005000.0,5005000.0,88988.2844643207,176585.6430097712,28919814.30097712,505768.00106640643,728824.9694002457,0.025853117846555498
Athens,1.19,59.54,14885000.0,3502389.2703773635,1251250.0,5005000.0,5005000.0,92418.08460246048,183873.89270377366,29648639.270377364,497961.6941615278,728824.9694002457,0.0252015784684904
Athens,1.24,61.91,15477500.0,3641802.481173372,1251250.0,5005000.0,5005000.0,95862.41779203305,191193.02481173375,30380552.481173374,490721.24828256137,731913.2107960097,0.024686232785302933
Athens,1.28,64.27,16067499.999999998,3780627.450573616,1251250.0,5005000.0,5005000.0,99292.21793017282,198481.27450573616,31109377.450573616,484041.9706017367,728824.969400242,0.02398985238507068
Athens,1.33,66.63,16657499.999999998,3919452.4199738614,1251250.0,5005000.0,5005000.0,102722.01806831258,205769.52419973857,31838202.419973858,477835.8460149161,728824.969400242,0.02342782238436608
Athens,1.38,69.0,17250000.0,4058865.6307698702,1251250.0,5005000.0,5005000.0,106166.35125788518,213088.65630769872,32570115.63076987,472030.6613155054,731913.2107960135,0.022988521812300686
Athens,1.43,71.36,17840000.0,4197690.600170115,1251250.0,5005000.0,5005000.0,109596.15139602494,220376.90600170114,33298940.600170113,466633.1362131462,728824.969400242,0.022377107212714385
Athens,1.47,73.72,18430000.0,4336515.56957036,1251250.0,5005000.0,5005000.0,113025.9515341647,227665.15569570358,34027765.56957036,461581.19329314114,728824.9694002494,0.021887332037119706
