City,ILR,discount_rate,Initial_invest,NPV,IRR,npv_over_I,ppa_eur_mwh,module_factor,module_reduction_pct
Lisbon,1.8,0.0847,34954500.0,-2477505.787577537,0.07594435553281964,-0.07087802107246668,35,0.55,44.99999999999999
Lisbon,1.85,0.0847,35574000.0,-2677838.9366765292,0.07539279204934735,-0.07527517109901977,35,0.55,44.99999999999999
Lisbon,1.9,0.0847,36196125.0,-2902251.3384417086,0.07477618685721121,-0.08018127184724079,35,0.55,44.99999999999999
Lisbon,1.95,0.0847,36815625.0,-3141691.209364087,0.07412696524311269,-0.08533581079674966,35,0.55,44.99999999999999
Lisbon,1.99,0.0847,37435125.0,-3398552.2530936487,0.07343904685217773,-0.0907851183372207,35,0.55,44.99999999999999
Lisbon,2.04,0.0847,38057250.0,-3675363.6276331134,0.07270639376204335,-0.09657459820751929,35,0.55,44.99999999999999
Lisbon,2.09,0.0847,38676750.0,-3964004.724477414,0.07195578462985353,-0.10249063647998899,35,0.55,44.99999999999999
Lisbon,2.13,0.0847,39296250.0,-4267808.560508336,0.07117779620776554,-0.10860600083998692,35,0.55,44.99999999999999
Lisbon,2.18,0.0847,39915750.0,-4587255.220250655,0.07037183621595888,-0.11492343799754871,35,0.55,44.99999999999999
Lisbon,2.23,0.0847,40537875.0,-4926355.655245842,0.06952716338233267,-0.12152476308257013,35,0.55,44.99999999999999
Lisbon,2.28,0.0847,41157375.0,-5278035.91130528,0.06866520657916064,-0.12824034359104,35,0.55,44.99999999999999
Lisbon,2.32,0.0847,41776875.0,-5645153.5513348505,0.06777854799599403,-0.13512627623140436,35,0.55,44.99999999999999
Lisbon,2.37,0.0847,42399000.0,-6029590.506526994,0.06686328333549163,-0.1422106772925539,35,0.55,44.99999999999999
Lisbon,2.42,0.0847,43018500.0,-6423343.992704991,0.06594216648644124,-0.14931585231249325,35,0.55,44.99999999999999
Lisbon,2.46,0.0847,43638000.0,-6829438.61651134,0.06500725371397054,-0.15650209946632157,35,0.55,44.99999999999999
Lisbon,2.51,0.0847,44257500.0,-7247302.718193793,0.0640605044772562,-0.16375309762625076,35,0.55,44.99999999999999
Lisbon,2.56,0.0847,44879625.0,-7680081.152916619,0.06309422709336743,-0.17112623273738625,35,0.55,44.99999999999999
Lisbon,2.61,0.0847,45499125.0,-8120585.005524506,0.0621271043421856,-0.17847782799173623,35,0.55,44.99999999999999
Lisbon,2.65,0.0847,46118625.0,-8571685.62480913,0.06115197811837958,-0.18586169090707125,35,0.55,44.99999999999999
Lisbon,2.7,0.0847,46740750.0,-9036382.139283616,0.060161812828043004,-0.19332984899223088,35,0.55,44.99999999999999
Lisbon,2.75,0.0847,47360250.0,-9508058.16631756,0.059172665971891414,-0.20076030355240015,35,0.55,44.99999999999999
Lisbon,2.79,0.0847,47979750.0,-9988956.358438099,0.058179424064435326,-0.2081910880827453,35,0.55,44.99999999999999
Lisbon,2.84,0.0847,48601875.0,-10481817.70393845,0.05717598674527724,-0.21566694091407895,35,0.55,44.99999999999999
Ljubljana,1.0,0.0788,24409875.0,-9341626.090882704,0.029007102599692747,-0.3826986451541724,35,0.55,44.99999999999999
Ljubljana,1.05,0.0788,25032000.0,-9244894.99659936,0.030960778088179097,-0.36932306633906037,35,0.55,44.99999999999999
Ljubljana,1.1,0.0788,25651500.0,-9145098.043808268,0.03281191468304345,-0.35651318807119536,35,0.55,44.99999999999999
Ljubljana,1.14,0.0788,26271000.0,-9045669.489738531,0.03455633004149572,-0.34432147576181077,35,0.55,44.99999999999999
Ljubljana,1.19,0.0788,26890500.0,-8947673.736382788,0.03619763635364115,-0.33274478854550077,35,0.55,44.99999999999999
Ljubljana,1.24,0.0788,27512625.0,-8861155.781571642,0.03769758618281993,-0.3220759844461094,35,0.55,44.99999999999999
Ljubljana,1.28,0.0788,28132125.0,-8791585.555210939,0.03903239931407976,-0.31251053929310135,35,0.55,44.99999999999999
Ljubljana,1.33,0.0788,28751625.0,-8755099.507051846,0.04014192423746077,-0.30450798892416847,35,0.55,44.99999999999999
Ljubljana,1.38,0.0788,29373750.0,-8754737.238139683,0.041033046818384156,-0.2980462909277734,35,0.55,44.99999999999999
Ljubljana,1.43,0.0788,29993250.0,-8785375.416856565,0.041738088844009535,-0.29291175237283607,35,0.55,44.99999999999999
Ljubljana,1.47,0.0788,30612750.0,-8847978.150905116,0.042269311466453185,-0.28902918394803195,35,0.55,44.99999999999999
Ljubljana,1.52,0.0788,31232250.0,-8941529.976665443,0.04264271643800588,-0.28629157286668244,35,0.55,44.99999999999999
Ljubljana,1.57,0.0788,31854375.0,-9070224.828378474,0.04285350634467311,-0.28474031678155587,35,0.55,44.99999999999999
Ljubljana,1.61,0.0788,32473875.0,-9225013.416767647,0.04294321857043637,-0.2840749192009776,35,0.55,44.99999999999999
