City,ILR,ILR_ref_for_city,PAC_MW,PDC_MWp,AC_energy_MWh,AC_energy_MWh_ILR_1_0,AC_energy_delta_MWh,DC_energy_MWh,clipping_energy_MWh,energy_increase_percentage,energy_loss_to_inverter
Stockholm,1.85,1.0,50.05,92.62,82071.65533516367,49457.42298927352,32614.232345890152,93297.64343891706,-9644.006732465163,65.94405930321851,-13.315366325596612
Stockholm,1.9,1.0,50.05,94.99,83409.23259392328,49457.42298927352,33951.80960464977,95677.68536337925,-10653.346996572713,68.64856183876249,-14.642591330041698
Stockholm,1.95,1.0,50.05,97.35,84710.99626316279,49457.42298927352,35253.57327388927,98057.72728784141,-11698.485948937505,71.28065140299601,-16.022577361866503
Stockholm,1.99,1.0,50.05,99.71,85979.62921621605,49457.42298927352,36522.20622694254,100437.7692123036,-12776.479185695127,73.8457526079828,-17.453455459728403
Stockholm,2.04,1.0,50.05,102.08,87218.67822923888,49457.42298927352,37761.255239965365,102817.8111367658,-13883.9051184477,76.35103682647426,-18.93222618616746
Stockholm,2.09,1.0,50.05,104.44,88429.74585827782,49457.42298927352,38972.3228690043,105197.85306122791,-15019.36143312271,78.7997443325277,-20.459450731300237
Stockholm,2.13,1.0,50.05,106.8,89613.36296371366,49457.42298927352,40155.939974440145,107577.89498569009,-16182.070794842468,81.19294849460574,-22.0370230686235
Stockholm,2.18,1.0,50.05,109.16,90771.70680456785,49457.42298927352,41314.28381529433,109957.93691015223,-17369.995302039217,83.53505160237464,-23.664291944256412
Stockholm,2.23,1.0,50.05,111.53,91906.84146504097,49457.42298927352,42449.41847576745,112337.97883461446,-18580.827964436307,85.83022711267027,-25.34002201590174
Stockholm,2.28,1.0,50.05,113.89,93020.30068846357,49457.42298927352,43562.87769919005,114718.0207590766,-19813.383116465262,88.08157616428602,-27.06490557668814
Stockholm,2.32,1.0,50.05,116.25,94112.49856880213,49457.42298927352,44655.07557952861,117098.0626835388,-21067.13219542405,90.28993603086344,-28.841161652523546
Stockholm,2.37,1.0,50.05,118.62,95183.23853574855,49457.42298927352,45725.81554647503,119478.10460800094,-22342.34172132148,92.45490925880266,-30.672798796316165
Stockholm,2.42,1.0,50.05,120.98,96233.17856596458,49457.42298927352,46775.75557669107,121858.14653246307,-23638.300983813402,94.57782623820886,-32.56194069211479
Stockholm,2.46,1.0,50.05,123.34,97262.52827914731,49457.42298927352,47805.1052898738,124238.18845692527,-24954.95122957041,96.65911080777889,-34.51222160640277
Stockholm,2.51,1.0,50.05,125.7,98271.89712359845,49457.42298927352,48814.47413432493,126618.23038138745,-26291.35727846593,98.6999952361286,-36.525646146906205
Stockholm,2.56,1.0,50.05,128.07,99262.45190513715,49457.42298927352,49805.02891586363,128998.27230584963,-27646.56900158694,100.70283873598814,-38.60396308849587
Stockholm,2.61,1.0,50.05,130.43,100235.3144740357,49457.42298927352,50777.89148476218,131378.3142303118,-29019.45208414908,102.6699096226163,-40.74857919332048
Stockholm,2.65,1.0,50.05,132.79,101190.91532133128,49457.42298927352,51733.492332057765,133758.35615477394,-30409.470930819334,104.6020783235671,-42.96248994728855
Stockholm,2.7,1.0,50.05,135.16,102129.73152819491,49457.42298927352,52672.308538921396,136138.39807923615,-31816.377203472137,106.50030946890445,-45.24940889114321
Stockholm,2.75,1.0,50.05,137.52,103051.67320763151,49457.42298927352,53594.25021835799,138518.4400036983,-33240.05307074226,108.36442131241186,-47.61392588449303
Stockholm,2.79,1.0,50.05,139.88,103957.31205718276,49457.42298927352,54499.889067909244,140898.48192816047,-34680.07441003693,110.19556979288903,-50.05984012624053
Stockholm,2.84,1.0,50.05,142.25,104846.00642890234,49457.42298927352,55388.58343962883,143278.52385262266,-36137.16772697644,111.99245753593283,-52.5946419844868
Tallinn,1.0,1.0,50.05,50.09,47502.297630253575,47502.297630253575,0.0,48482.67797999639,-1.374361533455358,0.0,-0.0028933364635469945
Tallinn,1.05,1.0,50.05,52.46,49738.68859163356,47502.297630253575,2236.390961379984,50769.59675263774,-19.6666765735715,4.707963767958157,-0.039555638498219185
Tallinn,1.1,1.0,50.05,54.82,51927.73870702083,47502.297630253575,4425.4410767672525,53056.51552527909,-87.27586597057055,9.316267417660127,-0.16835471982217817
Tallinn,1.14,1.0,50.05,57.18,54043.89783071998,47502.297630253575,6541.600200466404,55343.43429792043,-228.20974581809782,13.771123770442943,-0.42405802831706724
Tallinn,1.19,1.0,50.05,59.54,56085.532118209754,47502.297630253575,8583.234487956179,57630.35307056175,-443.79596356531073,18.069093320003184,-0.7975954638292984
Tallinn,1.24,1.0,50.05,61.91,58058.721396676505,47502.297630253575,10556.42376642293,59917.271843203096,-726.9028141601244,22.222975083419303,-1.2678872433008728
Tallinn,1.28,1.0,50.05,64.27,59977.664655421395,47502.297630253575,12475.36702516782,62204.190615844425,-1063.7016023449817,26.262660223876043,-1.8055169729231726
Tallinn,1.33,1.0,50.05,66.63,61845.255831227136,47502.297630253575,14342.95820097356,64491.10938848576,-1452.0413957136002,30.194240945176347,-2.404312155406227
